Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Spain,ESP,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79436611,0.701194506,0.896581395,2.807693691,4.121031336,4.668372132,6.007281034,7.48390356,9.380729632,8.452782349,6.162376611,5.635257621,4.461202066,3.68642502,3.152827246,2.851226662
Estonia,EST,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.944684776,5.202311417,5.375486401,4.045307443,2.622666595,1.474622315,1.388236099,0.981873691,0.869768013,0.698391486,0.453036142,0.36087432,0.346892561
Ethiopia,ETH,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.412864319,3.56052322,2.671735821,3.429771877
European Union,EUU,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.297026155,1.341824344,1.516812727,1.671621328,1.425572846,1.390401553,
Fiji,FJI,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.830281793,8.000837422,6.586285497,4.656563682,4.226175449,3.685063943,2.45452535,5.682117344,3.130116789,3.741005492,4.372729287,3.859337358,4.185207472,2.687859707,2.156503473,1.448191369,2.236873118,2.424460657,3.089256749,3.838351272,
France,FRA,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.819420253,4.021931127,3.758573893,4.291449589,4.294523274,4.49543408,4.162499284,4.045254299,3.702759075,3.123595653,2.748341623,2.473143665,2.705338997
Faroe Islands,FRO,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92935498,2.63222713,2.044017138,,,,,
Gabon,GAB,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.159006906,2.778456701,2.549806194,2.742400869,4.067032102,5.259199348,10.65187215,10.83590406,12.39271898,12.81048264,
United Kingdom,GBR,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55697369,3.508657018,3.954833788,3.961868206,3.586284008,3.111741739,1.654392455,1.014508466,0.940161284,0.73465975,1.072627545,1.079503996,1.215664822
Georgia,GEO,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.343194656,1.971567664,1.194325981,0.805882164,0.838418571,4.058081305,6.255441029,5.919682705,4.526001601,3.680255502,3.031716066,3.02706443,2.711451144,3.446975017,2.77879997,2.678868344,1.928409565,2.267438336
